,Site,SiteID,count,flow_media,segnum,reachID,k,i,j,iseg,ireach,geometry,reachid
59,Mangamate Stream at State Highway 50,60,31,2704.32,8162968,892,0,22,53,109,9,POINT (1897312.7 5590637.8),892
60,Mangamate Stream at State Highway 50_gaugings,61,31,2704.32,8162968,892,0,22,53,109,9,POINT (1897312.7 5590637.8),892
61,Mangamauku Stream U/S Mangaonuku,62,8,7430.4,8163648,971,0,27,56,121,20,POINT (1898714.3 5588336.5),971
62,Mangamauku Stream U/S Mangaonuku_gaugings,63,8,7430.4,8163648,971,0,27,56,121,20,POINT (1898714.3 5588336.5),971
63,Mangaoho Stream at Butler Road,64,6,18213.120000000003,8165087,1012,0,34,55,130,1,POINT (1898615.1 5584833.9),1012
64,Mangaoho Stream at Butler Road_gaugings,65,6,18213.120000000003,8165087,1012,0,34,55,130,1,POINT (1898615.1 5584833.9),1012
65,Mangaoho Stream at State Highway 50,66,35,1987.2,8164630,861,0,32,50,106,50,POINT (1895712.8 5585533.7),861
66,Mangaoho Stream at State Highway 50_gaugings,67,35,1987.2,8164630,861,0,32,50,106,50,POINT (1895712.8 5585533.7),861
67,Mangaonuku Stream D/S Mangaho,68,2,34344.0,8166298,1418,0,39,60,185,1,POINT (1900817.3 5582132.4),1418
68,Mangaonuku Stream D/S Mangamauku,69,30,14644.800000000001,8163814,1258,0,27,57,162,1,POINT (1899175.7 5588282.6),1258
69,Mangaonuku Stream D/S Mangamauku_gaugings,70,30,14644.800000000001,8163814,1258,0,27,57,162,1,POINT (1899175.7 5588282.6),1258
70,Mangaonuku Stream D/S Te Heka,71,2,33091.200000000004,8165492,1291,0,32,60,169,3,POINT (1900616.4 5585534.9),1291
71,Mangaonuku Stream U/S Mangatahi,72,1,79833.6,8166519,1495,0,43,62,201,2,POINT (1901618.3 5580031),1495
72,Mangaonuku Stream U/S Waipawa,73,20,129418.56,8168304,1567,0,52,62,215,1,POINT (1901619.2 5575627.7),1567
73,Mangaonuku Stream U/S Waipawa_gaugings,74,20,129418.56,8168304,1567,0,52,62,215,1,POINT (1901619.2 5575627.7),1567
74,Mangaonuku Stream at Argyll Rd,75,20,36244.8,8166519,1496,0,44,62,201,3,POINT (1901627.5 5579883.5),1496
75,Mangaonuku Stream at Argyll Rd_gaugings,76,20,36244.8,8166519,1496,0,44,62,201,3,POINT (1901627.5 5579883.5),1496
